player_name,pen,yds
Kaelin Clay,Illegal Block Above the Waist,10
Jordan Matthews,Offensive Pass Interference,4
Kyle Williams,Neutral Zone Infraction,5
Levine Toilolo,Offensive Holding,10
Keanu Neal,Defensive Pass Interference ,-1
Eric Saubert,Illegal Block Above the Waist ,-1
Sharrod Neasman,Offensive Holding,10
Devonta Freeman,Unnecessary Roughness,15
Eric Wood,Offensive Holding,10
John Miller,False Start,5
Tyrod Taylor,Delay of Game,5
TreDavious White,Defensive Pass Interference,6
Leonard Johnson,Defensive Holding,5
Lorenzo Alexander,Neutral Zone Infraction,5
