player_name,pen,yds
ARI,Illegal Formation,5
Kapri Bibbs,False Start,5
Tramon Williams,Defensive Pass Interference,16
Blaine Gabbert,Delay of Game,5
Josh Norman,Defensive Pass Interference,24
Corey Peters,Face Mask ,-1
Alex Boone,Horse Collar Tackle,15
Chad Williams,False Start,5
Vernon Davis,False Start,5
Olsen Pierre,Defensive Holding,5
Morgan Moses,Offensive Holding,10
A.J. Francis,Leverage,15
JJ Nelson,False Start,5
Kendall Fuller,Defensive Pass Interference,13
D.J. Swearinger,Unsportsmanlike Conduct,10
