player_name,pen,yds
Laremy Tunsil,False Start,5
Jarvis Landry,Illegal Formation ,-1
Rey Maualuga,Defensive ,-1
Ronnie Stanley,False Start,5
Brandon Carr,Defensive Pass Interference ,-1
Kiko Alonso,Unnecessary Roughness,6
Ronnie Stanley,Illegal Formation,5
Ndamukong Suh,Unnecessary Roughness,15
Laremy Tunsil,False Start,5
Tyus Bowser,Illegal Block Above the Waist,10
Tyus Bowser,False Start,5
Walt Aikens,Neutral Zone Infraction,5
Davon Godchaux,Defensive Offside,5
William Hayes,Unnecessary Roughness,2
Matt Judon,Horse Collar Tackle,15
