player_name,pen,yds
T.J. Johnson,Illegal Block Above the Waist,10
Jake Fisher,Illegal Use of Hands ,-1
Josh Shaw,False Start,5
HOU,Illegal Formation ,-1
Jadeveon Clowney,Defensive Offside,5
CIN,Illegal Formation,5
Evan Baylis,False Start,5
Jordan Todman,Offensive Holding,6
Zach Cunningham,Neutral Zone Infraction,5
Tyler Eifert,Illegal Touch Pass,-1
Darqueze Dennard,Defensive Pass Interference,6
Brian Peters,Offensive Holding,7
Braxton Miller,Unnecessary Roughness,8
Chris Clark,Offensive Holding,10
Adam Jones,Defensive Pass Interference,14
DeAndre Hopkins,Offensive Pass Interference,10
Jake Fisher,False Start,5
Julie'n Davenport,False Start,5
