player_name,pen,yds
Blake Martinez,Unnecessary Roughness,3
Davon House,Illegal Use of Hands ,-1
Geoff Swaim,Offensive Holding,10
Kenny Clark,Illegal Formation,5
Anthony Hitchens,Face Mask ,-1
Kentrell Brice,Defensive Offside,5
Benson Mayowa,Unnecessary Roughness,15
Justin McCray,False Start,5
Anthony Brown,Defensive Holding ,-1
Nick Perry,Defensive Offside ,-1
DAL,Defensive ,-1
Damarious Randall,Unsportsmanlike Conduct,15
Jeff Heath,Offensive Holding,10
Travis Frederick,Offensive Holding,10
Nick Perry,Defensive Offside,5
