player_name,pen,yds
Ndamukong Suh,Neutral Zone Infraction,5
Sam Young,Offensive Holding,10
Mitchell Schwartz,Offensive Holding,10
Torry McTyer,Defensive ,-1
Davon Godchaux,Defensive Holding,5
Xavien Howard,Defensive Holding,5
Ukeme Eligwe,Offside on Free Kick,5
Travis Kelce,Offensive Pass Interference,10
Cameron Wake,Defensive Holding,5
T.J. McDonald,Defensive Holding,5
Ndamukong Suh,Defensive Offside ,-1
Andre Branch,Neutral Zone Infraction,5
Zach Fulton,Offensive Holding,10
Ted Larsen,Unnecessary Roughness,15
Bryan Witzmann,False Start,5
Sam Young,False Start,5
Kenny Stills,Offensive Pass Interference,10
