player_name,pen,yds
Cody Whitehair,Offensive Holding,10
Mitch Trubisky,Delay of Game,5
Tramaine Brock,Offensive Holding,10
Markus Wheaton,Offensive Holding,10
Tre McBride,Offensive Pass Interference,10
Charles Leno,False Start,5
Bobby Massie,False Start,5
Eric Kendricks,Illegal Contact,5
Mike Remmers,Offensive Holding,10
Riley Reiff,Illegal Block Above the Waist ,-1
Linval Joseph,Illegal Use of Hands,4
Trae Waynes,Defensive Holding,5
Everson Griffen,Defensive Offside,5
Stefon Diggs,Offensive Holding,10
Josh Sitton,Offensive Holding ,-1
Tramaine Brock,Illegal Block Above the Waist,10
Eddie Goldman,Defensive ,-1
Leonard Floyd,Defensive Holding,5
