player_name,pen,yds
Alshon Jeffery,Illegal Block Above the Waist,10
Jalen Mills,Defensive Pass Interference,21
Matt Kalil,Illegal Formation ,-1
LeGarrette Blount,Unnecessary Roughness,15
Trey Burton,Ineligible Downfield Kick,5
Najee Goode,Offside on Free Kick,5
Star Lotulelei,Illegal Formation,1
Jalen Mills,Defensive Pass Interference,40
Trai Turner,Offensive Holding ,-1
Stefen Wisniewski,Offensive Holding,9
Derek Barnett,Unnecessary Roughness,11
Zach Ertz,False Start,5
Rasul Douglas,Defensive Holding,5
