player_name,pen,yds
Ifeanyi Momah,Offensive Holding,10
Elijah Lee,Illegal Block Above the Waist,10
Evan Boehm,Offensive Holding,10
Jaron Brown,Offensive Holding,10
Budda Baker,Offside on Free Kick,5
Eli Harold,Offensive Holding,10
Evan Boehm,Offensive Holding,10
Rashard Robinson,Illegal Use of Hands,5
DeForest Buckner,Encroachment,5
Markus Golden,Neutral Zone Infraction,5
Trent Taylor,Offensive Pass Interference,10
Rashard Robinson,Defensive Pass Interference,33
Daniel Kilgore,Offensive Holding,10
Garrett Celek,False Start,5
Brandon Fusco,False Start,5
Asa Jackson,Player Out of Bounds on Punt,5
Logan Paulsen,Offensive Holding,5
Aldrick Robinson,Offensive Pass Interference,2
Daniel Kilgore,Illegal Block Above the Waist ,-1
Ifeanyi Momah,Offensive Holding,9
Patrick Peterson,Defensive Pass Interference,6
Markus Golden,Defensive Offside,5
ARI,Defensive Pass Interference ,-1
Evan Boehm,Offensive Holding,10
Jimmie Ward,Defensive Pass Interference,8
