player_name,pen,yds
Desmond Trufant,Defensive Holding,5
Phillip Dorsett,Illegal Block Above the Waist,10
Dontari Poe,Defensive ,-1
Nate Solder,Offensive Holding,10
Terron Ward,Neutral Zone Infraction,5
Patrick Chung,Offensive Holding,10
Rob Gronkowski,Offensive Pass Interference,10
Nate Solder,False Start,5
Adrian Clayborn,Roughing the Passer,15
Rob Gronkowski,False Start,5
Deatrich Wise Jr.,Defensive Holding ,-1
Grady Jarrett,Illegal Use of Hands,5
Rob Gronkowski,False Start,5
Dont'a Hightower,Defensive Holding ,-1
Adrian Clayborn,Encroachment,5
Shaq Mason,Offensive Holding,10
