player_name,pen,yds
Roosevelt Nix,False Start,5
Le'Veon Bell,Unnecessary Roughness,15
Brandon Wilson,Offensive Holding ,-1
Russell Bodine,Offensive Holding,10
A.J. Green,Face Mask ,-1
C.J. Uzomah,Illegal Shift,5
Dre Kirkpatrick,Defensive Pass Interference,38
Cody Core,Player Out of Bounds on Punt,5
Giovani Bernard,Offensive Holding,10
J.J. Wilcox,Offensive Holding,10
Clayton Fejedelem,Face Mask ,-1
Eli Rogers,False Start,5
Alejandro Villanueva,Offensive Holding ,-1
Brian Allen,Unnecessary Roughness,6
Dre Kirkpatrick,Defensive Pass Interference,30
Giovani Bernard,False Start,5
J.J. Wilcox,Offensive Holding,10
Geno Atkins,Roughing the Passer,15
JuJu Smith-Schuster,Taunting ,-1
George Iloka,Unnecessary Roughness,15
Josh Shaw,Defensive Offside,5
