player_name,pen,yds
Gabe Wright,Neutral Zone Infraction,5
Kenyan Drake,Illegal Motion,5
Ted Larsen,False Start,5
Jakeem Grant,Illegal Block Above the Waist,10
Andre Branch,Defensive Offside,5
Reshad Jones,Face Mask ,-1
Davon Godchaux,Encroachment,5
Leonard Johnson,Illegal Use of Hands,10
Walt Aikens,Unnecessary Roughness,15
Reid Ferguson,Offensive Holding,10
Eric Wood,Ineligible Downfield Pass,5
Deon Lacey,Illegal Block Above the Waist,10
Cameron Wake,Face Mask ,-1
David Fales,Intentional Grounding,13
Gabe Wright,Defensive Offside ,-1
Cordrea Tankersley,Defensive Pass Interference,31
Matt Milano,Defensive Pass Interference,5
Ted Larsen,Offensive Holding,10
Kenny Stills,Unsportsmanlike Conduct ,-1
BUF,Delay of Game,5
Zach Sterup,False Start,5
