player_name,pen,yds
Kendrick Bourne,Offensive Pass Interference ,-1
Garrett Celek,Illegal Formation,5
Garrett Celek,Horse Collar Tackle,15
Daniel Kilgore,Offensive Holding,10
Tom Savage,Intentional Grounding,10
Johnathan Joseph,Defensive Holding ,-1
Eddie Pleasant,Illegal Blindside Block,5
Louis Murphy,Illegal Shift,5
Dontae Johnson,Defensive Holding ,-1
Dontae Johnson,Defensive Pass Interference ,-1
Dontae Johnson,Defensive Pass Interference,6
Benardrick McKinney,Roughing the Passer,15
Kevin Johnson,Illegal Contact,5
Laken Tomlinson,Offensive Holding,10
Dexter McCoil,Illegal Blindside Block,13
Laken Tomlinson,Offensive Holding,9
Brandon Fusco,False Start,4
Kevin Johnson,Defensive Pass Interference,27
Earl Mitchell,Defensive Holding,5
Kareem Jackson,Defensive Holding,5
Stephen Anderson,Offensive Holding,9
Aaron Lynch,Defensive Offside,5
