player_name,pen,yds
Antonio Brown,Illegal Formation,5
Nick Easton,Offensive Holding,10
Brian Robison,Encroachment,5
Xavier Rhodes,Defensive Pass Interference,22
Jesse James,Offensive Holding,10
Ben Roethlisberger,Delay of Game,5
Ben Roethlisberger,Delay of Game,5
Alejandro Villanueva,False Start,5
Trae Waynes,Defensive Pass Interference,49
PIT,Defensive ,-1
Roosevelt Nix,Defensive Offside,5
Nick Easton,Illegal Formation,5
Artie Burns,Defensive Pass Interference,17
Tom Johnson,Defensive Offside ,-1
Stefon Diggs,Offensive Pass Interference,10
Nick Easton,Offensive Holding,10
Terence Newman,Defensive Holding,5
JuJu Smith-Schuster,False Start,5
Kameron Canaday,False Start,5
Anthony Barr,Running Into the Kicker ,-1
Joe Berger,False Start ,-1
Artie Burns,Defensive Pass Interference ,-1
Riley Reiff,Offensive Holding ,-1
Anthony Chickillo,Offensive Holding,10
Mike Remmers,Offensive Holding,10
MIN,Illegal Formation,5
