player_name,pen,yds
Ha Ha Clinton-Dix,Unnecessary Roughness,15
Martellus Bennett,False Start,5
Josh Hawkins,Illegal Block Above the Waist,10
Kenny Clark,Encroachment,5
Josh Sitton,Offensive Holding,10
Charles Leno,False Start,5
Kyle Long,False Start,5
Josh Jones,Illegal Use of Hands ,-1
GNB,Illegal Formation,5
Kyle Long,Offensive Holding ,-1
Eddie Goldman,Defensive Holding,5
Prince Amukamara,Defensive Pass Interference,11
Justin McCray,Offensive Holding,10
Danny Trevathan,Unnecessary Roughness,4
Cody Whitehair,Offensive Holding,10
Clay Matthews,Defensive Holding,5
Michael Burton,Offensive Holding,12
