player_name,pen,yds
Johnthan Banks,Defensive Holding,5
Stephon Gilmore,Defensive Pass Interference,34
Jadeveon Clowney,Neutral Zone Infraction,5
Benardrick McKinney,Defensive Holding,5
Bruce Ellington,False Start,5
Xavier Su'a-Filo,Offensive Holding,10
Stephon Gilmore,Unnecessary Roughness,15
Eddie Pleasant,Defensive Holding ,-1
HOU,Illegal Formation,5
Kareem Jackson,Defensive Holding,5
Brandon Bolden,Offside on Free Kick,5
Deshaun Watson,Delay of Game,5
HOU,Defensive ,-1
Ryan Griffin,Offensive Pass Interference,10
Jonathan Jones,Defensive Holding ,-1
David Andrews,Offensive Holding,10
