player_name,pen,yds
Joe Haden,Offensive Holding,10
Maurkice Pouncey,Offensive Holding ,-1
Kameron Canaday,Offensive Holding,10
Sean Davis,Offensive Holding,10
Jack Doyle,Offensive Holding,10
Kyle Kalis,False Start,5
Josh Ferguson,Low Block,13
Brandon Williams,False Start,5
T.J. Watt,Illegal Use of Hands,5
Kyle Kalis,False Start,5
Artie Burns,Neutral Zone Infraction,5
Artie Burns,Neutral Zone Infraction,5
Eli Rogers,Offensive Pass Interference,10
Rashaan Melvin,Defensive Pass Interference,11
William Gay,Defensive Holding,5
T.J. Green,Unnecessary Roughness,15
T.J. Green,Offensive Holding,8
Antonio Brown,Offensive Pass Interference,10
Ben Roethlisberger,Delay of Game,5
Kyle Kalis,Offensive Holding,10
