player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Bashaud Breeland,/players/B/BreeBa00.htm,0,0,0,0,2,3,0,0,0,0,0,0,0,0
Zach Brown,/players/B/BrowZa00.htm,3,0,0,1,1,0,0,0,0,0,0,0,0,0
Kendall Fuller,/players/F/FullKe00.htm,2,0,2,0,1,0,0,0,0,0,0,0,0,0
DeAngelo Hall,/players/H/HallDe99.htm,1,0,0,0,1,0,0,0,2,0,1,0,0,0
Ryan Kerrigan,/players/K/KerrRy00.htm,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Montae Nicholson,/players/N/NichMo00.htm,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Josh Norman,/players/N/NormJo01.htm,2,0,1,0,1,0,0,0,1,0,0,0,0,0
Preston Smith,/players/S/SmitPr00.htm,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Martrell Spaight,/players/S/SpaiMa00.htm,0,0,0,1,1,0,0,0,0,0,0,1,0,0
D.J. Swearinger,/players/S/SweaDJ00.htm,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Vonn Bell,/players/B/BellVo00.htm,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Rafael Bush,/players/B/BushRa00.htm,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ken Crawley,/players/C/CrawKe02.htm,1,0,1,0,0,0,0,1,0,0,0,0,0,0
De'Vante Harris,/players/H/HarrDe04.htm,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Manti Te'o,/players/T/TeoxMa00.htm,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Marcus Williams,/players/W/WillMa08.htm,1,0,0,0,2,1,0,0,0,0,2,0,0,0
P.J. Williams,/players/W/WillP.00.htm,0,0,0,0,3,0,0,0,0,0,1,0,0,0
