player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Sean Davis,/players/D/DaviSe00.htm,0,0,0,0,1,0,0,0,0,0,0,3,0,0
Joe Haden,/players/H/HadeJo99.htm,0,0,1,0,0,1,0,0,0,0,0,2,0,0
James Harrison,/players/H/HarrJa23.htm,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tyler Matakevich,/players/M/MataTy00.htm,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mike Mitchell,/players/M/MitcMi99.htm,0,0,0,0,0,0,0,0,0,0,1,2,0,0
Ryan Shazier,/players/S/ShazRy00.htm,1,0,1,0,1,1,0,0,0,0,0,0,0,0
T.J. Watt,/players/W/WattT.00.htm,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Vince Williams,/players/W/WillVi01.htm,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dee Ford,/players/F/FordDe00.htm,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Phillip Gaines,/players/G/GainPh00.htm,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mike Hilton,/players/H/HiltMi01.htm,1,0,0,0,0,0,0,0,0,0,0,2,0,0
Justin Houston,/players/H/HousJu00.htm,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Terrance Mitchell,/players/M/MitcTe00.htm,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Ron Parker,/players/P/ParkRo01.htm,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Marcus Peters,/players/P/PeteMa00.htm,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Kevin Pierre-Louis,/players/P/PierKe00.htm,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Daniel Sorensen,/players/S/SoreDa01.htm,0,0,0,0,0,0,0,0,0,0,0,1,0,0
