player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Robert Alford,/players/A/AlfoRo00.htm,1,1,1,0,4,1,0,0,0,0,0,0
De'Vondre Campbell,/players/C/CampDe00.htm,1,0,1,0,0,0,0,0,0,0,0,0
Adrian Clayborn,/players/C/ClayAd00.htm,0,0,0,0,1,0,0,0,0,0,0,0
C.J. Goodwin,/players/G/GoodC.00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Grady Jarrett,/players/J/JarrGr00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Deion Jones,/players/J/JoneDe01.htm,2,0,1,0,1,0,0,0,0,0,0,0
Keanu Neal,/players/N/NealKe01.htm,1,0,4,0,0,0,0,0,0,0,0,0
Brian Poole,/players/P/PoolBr01.htm,1,0,1,0,1,0,0,0,0,0,0,0
Desmond Trufant,/players/T/TrufDe00.htm,1,1,1,1,0,0,0,0,0,0,0,0
Justin Coleman,/players/C/ColeJu01.htm,1,0,0,0,0,0,0,0,0,0,0,0
Jeremy Lane,/players/L/LaneJe00.htm,0,0,1,0,0,0,2,0,0,0,1,0
Byron Maxwell,/players/M/MaxwBy00.htm,0,1,0,0,3,0,0,0,0,0,0,0
Bradley McDougald,/players/M/McDoBr01.htm,1,0,0,0,0,0,1,0,0,0,0,0
Earl Thomas,/players/T/ThomEa99.htm,0,0,3,0,1,0,0,0,0,0,0,0
Bobby Wagner,/players/W/WagnBo00.htm,2,0,2,0,1,0,0,0,0,0,0,0
