player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Andrew Adams,/players/A/AdamAn01.htm,3,0,0,0,0,0,0,0,0,0,0,0
Ray-Ray Armstrong,/players/A/ArmsRa01.htm,0,0,0,0,1,0,0,0,0,0,0,0
Ross Cockrell,/players/C/CockRo00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Landon Collins,/players/C/CollLa00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Brandon Dixon,/players/D/DixoBr00.htm,1,0,0,0,1,0,1,0,1,0,0,0
Jason Pierre-Paul,/players/P/PierJa99.htm,0,0,0,0,1,0,0,0,0,0,0,0
Dominique Rodgers-Cromartie,/players/R/RodgDo99.htm,1,1,0,0,0,0,0,0,0,0,0,0
Kelvin Sheppard,/players/S/ShepKe00.htm,1,0,1,0,1,0,0,0,0,0,1,0
Darian Thompson,/players/T/ThomDa05.htm,0,0,1,0,0,0,1,0,0,0,0,0
Budda Baker,/players/B/BakeBu00.htm,4,0,1,1,2,0,0,0,0,0,0,0
Antoine Bethea,/players/B/BethAn20.htm,0,0,1,0,0,0,0,0,0,0,0,0
Justin Bethel,/players/B/BethJu00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Deone Bucannon,/players/B/BucaDe00.htm,1,0,1,1,0,0,0,0,0,0,1,0
Karlos Dansby,/players/D/DansKa20.htm,4,0,1,0,2,0,0,0,0,0,0,0
Chandler Jones,/players/J/JoneCh03.htm,1,0,0,1,0,0,0,0,0,0,0,0
Tyrann Mathieu,/players/M/MathTy00.htm,4,0,1,0,1,0,0,0,0,0,0,0
Tramon Williams,/players/W/WillTr99.htm,0,0,0,0,5,1,0,0,0,0,0,0
