player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Jamal Adams,/players/A/AdamJa00.htm,1,0,0,0,1,0,0,0,0,1,0,0
Juston Burris,/players/B/BurrJu00.htm,0,0,2,0,2,0,0,0,0,0,0,0
Morris Claiborne,/players/C/ClaiMo00.htm,0,0,0,0,2,0,0,0,0,0,0,0
Demario Davis,/players/D/DaviDe00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Darron Lee,/players/L/LeexDa00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Josh Martin,/players/M/MartJo02.htm,0,0,1,0,0,0,0,0,0,0,0,0
Marcus Maye,/players/M/MayeMa00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Steve McLendon,/players/M/McLeSt00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Rontez Miles,/players/M/MileRo00.htm,0,0,0,0,0,0,1,0,0,0,0,0
Buster Skrine,/players/S/SkriBu00.htm,0,0,0,0,4,0,0,0,1,0,0,0
Johnson Bademosi,/players/B/BadeJo00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Malcolm Butler,/players/B/ButlMa01.htm,1,0,0,0,0,0,0,0,0,0,0,0
Patrick Chung,/players/C/ChunPa99.htm,0,0,2,0,0,0,0,0,0,0,0,0
Marquis Flowers,/players/F/FlowMa00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Trey Flowers,/players/F/FlowTr00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Stephon Gilmore,/players/G/GilmSt00.htm,1,0,0,1,1,0,0,0,0,0,0,0
James Harrison,/players/H/HarrJa23.htm,2,0,0,0,0,0,0,0,0,0,0,0
Jonathan Jones,/players/J/JoneJo03.htm,0,0,1,0,1,0,1,0,0,0,0,0
Devin McCourty,/players/M/McCoDe99.htm,0,0,1,0,1,0,0,0,1,0,0,0
Jordan Richards,/players/R/RichJo00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Elandon Roberts,/players/R/RobeEl00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Eric Rowe,/players/R/RoweEr00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Deatrich Wise Jr.,/players/W/WiseDe00.htm,1,0,0,0,0,0,0,0,0,0,0,0
