player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Ray-Ray Armstrong,/players/A/ArmsRa01.htm,1,0,2,0,0,0,0,0,0,0,0,0
Brock Coyle,/players/C/CoylBr00.htm,3,0,2,0,0,0,0,0,0,0,0,0
Eli Harold,/players/H/HaroEl00.htm,2,0,0,0,1,0,0,0,0,0,0,0
Dontae Johnson,/players/J/JohnDo02.htm,0,0,0,1,3,0,0,0,0,0,0,0
Earl Mitchell,/players/M/MitcEa99.htm,2,0,0,0,0,0,0,0,0,0,0,0
Eric Reid,/players/R/ReidEr00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Rashard Robinson,/players/R/RobiRa00.htm,1,0,1,0,0,0,0,0,0,0,0,0
Jaquiski Tartt,/players/T/TartJa00.htm,0,0,0,0,0,0,1,0,0,0,0,0
Solomon Thomas,/players/T/ThomSo00.htm,0,0,2,0,0,0,0,0,0,0,0,0
Jimmie Ward,/players/W/WardJi01.htm,0,0,0,0,0,0,0,0,1,0,0,0
K'Waun Williams,/players/W/WillKW00.htm,2,0,0,0,2,0,0,0,0,0,0,0
Ahkello Witherspoon,/players/W/WithAh00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Bashaud Breeland,/players/B/BreeBa00.htm,1,0,1,1,0,0,1,0,0,0,0,0
Zach Brown,/players/B/BrowZa00.htm,0,0,1,0,3,0,0,0,1,0,0,0
Quinton Dunbar,/players/D/DunbQu00.htm,0,0,1,0,5,1,0,0,0,0,0,0
Mason Foster,/players/F/FostMa00.htm,0,0,2,0,0,0,0,0,0,0,0,0
Kendall Fuller,/players/F/FullKe00.htm,0,1,1,0,0,0,0,0,0,0,0,0
Fabian Moreau,/players/M/MoreFa00.htm,1,0,1,1,0,0,0,0,0,0,0,0
Montae Nicholson,/players/N/NichMo00.htm,0,0,1,0,0,0,0,0,1,0,1,0
D.J. Swearinger,/players/S/SweaDJ00.htm,1,1,1,0,0,0,0,0,0,0,0,0
