player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Jamal Adams,/players/A/AdamJa00.htm,0,0,1,0,0,0,1,0,0,0,0,0
David Bass,/players/B/BassDa00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Morris Claiborne,/players/C/ClaiMo00.htm,1,0,1,0,1,0,0,0,0,0,0,0
Demario Davis,/players/D/DaviDe00.htm,1,0,0,0,1,0,0,0,0,0,0,0
Darron Lee,/players/L/LeexDa00.htm,0,0,1,0,3,0,0,0,0,0,0,0
Marcus Maye,/players/M/MayeMa00.htm,1,0,1,0,0,0,1,0,0,0,0,0
Darryl Roberts,/players/R/RobeDa00.htm,2,0,0,0,1,0,0,0,0,0,1,0
Buster Skrine,/players/S/SkriBu00.htm,1,0,1,0,1,0,0,0,0,0,0,0
Muhammad Wilkerson,/players/W/WilkMu00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Nate Allen,/players/A/AlleNa99.htm,2,0,0,0,0,0,0,1,0,0,0,0
Kiko Alonso,/players/A/AlonKi00.htm,1,0,1,0,1,0,0,0,0,0,0,0
Xavien Howard,/players/H/HowaXa00.htm,1,0,0,0,0,1,0,0,0,0,0,0
Reshad Jones,/players/J/JoneRe99.htm,1,0,1,1,1,0,0,0,0,0,0,0
Rey Maualuga,/players/M/MauaRe99.htm,1,0,0,0,0,0,0,0,0,0,0,0
Bobby McCain,/players/M/McCaBo01.htm,0,0,1,0,1,0,0,0,0,0,0,0
Cordrea Tankersley,/players/T/TankCo00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Lawrence Timmons,/players/T/TimmLa99.htm,1,0,0,0,0,0,0,0,0,0,0,0
