player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Darqueze Dennard,/players/D/DennDa00.htm,2,0,0,0,2,0,0,0,0,0,0,0
Carlos Dunlap,/players/D/DunlCa99.htm,1,0,0,0,0,0,0,0,0,0,0,0
Jordan Evans,/players/E/EvanJo01.htm,0,0,1,0,2,0,0,0,0,0,0,0
Clayton Fejedelem,/players/F/FejeCl00.htm,1,0,0,0,1,0,0,0,0,0,0,0
William Jackson,/players/J/JackWi02.htm,1,0,0,0,1,0,0,0,0,0,0,0
Michael Johnson,/players/J/JohnMi98.htm,0,0,0,0,1,0,0,0,0,0,0,0
Vincent Rey,/players/R/ReyxVi00.htm,2,0,1,0,2,0,0,0,0,0,0,0
Chris Smith,/players/S/SmitCh03.htm,0,0,1,0,1,0,0,0,0,0,0,0
Shawn Williams,/players/W/WillSh02.htm,3,0,0,0,0,0,0,0,0,0,0,0
Anthony Barr,/players/B/BarrAn00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Ben Gedeon,/players/G/GedeBe00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Jayron Kearse,/players/K/KearJa00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Eric Kendricks,/players/K/KendEr00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Emmanuel Lamur,/players/L/LamuEm00.htm,0,0,0,0,1,1,0,0,0,0,0,0
Terence Newman,/players/N/NewmTe20.htm,0,1,0,0,0,0,1,0,0,0,0,0
Xavier Rhodes,/players/R/RhodXa00.htm,1,0,1,0,2,0,0,0,0,0,0,0
Brian Robison,/players/R/RobiBr98.htm,1,0,0,0,0,0,0,0,0,0,0,0
Andrew Sendejo,/players/S/SendAn00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Harrison Smith,/players/S/SmitHa00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Trae Waynes,/players/W/WaynTr00.htm,0,0,0,0,1,0,0,0,0,0,0,0
