player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Ray-Ray Armstrong,/players/A/ArmsRa01.htm,1,0,1,0,0,0,0,0,0,0,0,0
NaVorro Bowman,/players/B/BowmNa99.htm,2,0,1,0,1,0,0,0,0,0,0,0
DeForest Buckner,/players/B/BuckDe00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Xavier Cooper,/players/C/CoopXa00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Elvis Dumervil,/players/D/DumeEl20.htm,1,0,0,0,0,0,0,0,0,0,0,0
Dontae Johnson,/players/J/JohnDo02.htm,1,0,1,0,3,0,1,0,0,0,0,0
Aaron Lynch,/players/L/LyncAa00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Rashard Robinson,/players/R/RobiRa00.htm,0,1,0,0,1,0,0,1,0,0,0,0
Jaquiski Tartt,/players/T/TartJa00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Jimmie Ward,/players/W/WardJi01.htm,0,0,1,0,0,0,0,0,1,0,0,0
K'Waun Williams,/players/W/WillKW00.htm,0,0,0,0,2,0,0,0,0,0,0,0
Ahkello Witherspoon,/players/W/WithAh00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Jonathan Bostic,/players/B/BostJo00.htm,1,0,1,0,1,0,0,0,2,0,0,0
Darius Butler,/players/B/ButlDa99.htm,0,0,3,0,1,0,0,0,0,0,0,0
Vontae Davis,/players/D/DaviVo99.htm,0,0,0,0,3,1,1,0,0,0,1,0
Pierre Desir,/players/D/DesiPi00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Matthias Farley,/players/F/FarlMa00.htm,2,0,0,1,2,0,0,0,1,0,0,0
Jeremiah George,/players/G/GeorJe01.htm,1,0,1,0,0,0,0,0,0,0,0,0
Malik Hooker,/players/H/HookMa00.htm,0,0,2,0,0,0,0,0,1,0,0,0
Rashaan Melvin,/players/M/MelvRa00.htm,2,0,1,0,0,0,0,0,0,0,0,0
Antonio Morrison,/players/M/MorrAn01.htm,1,0,0,0,1,0,0,0,0,0,0,0
Jabaal Sheard,/players/S/SheaJa00.htm,0,0,0,0,1,0,0,0,0,0,0,0
John Simon,/players/S/SimoJo01.htm,0,0,0,0,1,0,0,0,0,0,0,0
