player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Marcus Gilchrist,/players/G/GilcMa00.htm,0,0,0,0,2,1,0,0,0,0,0,0
Andre Hal,/players/H/HalxAn00.htm,1,0,1,0,0,0,0,0,0,0,0,0
Kareem Jackson,/players/J/JackKa99.htm,0,0,0,0,1,0,1,1,0,0,0,0
Kevin Johnson,/players/J/JohnKe04.htm,0,0,0,0,1,0,0,0,0,0,0,0
Johnathan Joseph,/players/J/JoseJo20.htm,3,0,0,0,0,0,0,0,0,0,0,0
Marcus Williams,/players/W/WillMa03.htm,0,0,0,0,1,0,0,0,0,0,0,0
Jayon Brown,/players/B/BrowJa06.htm,1,0,0,0,0,1,0,0,0,0,0,0
Kevin Byard,/players/B/ByarKe01.htm,0,1,2,0,5,0,1,0,0,0,0,0
Johnathan Cyprien,/players/C/CyprJo00.htm,3,0,1,0,1,1,0,0,0,0,0,0
Adoree' Jackson,/players/J/JackAd00.htm,1,0,0,0,0,1,0,0,1,0,0,0
Austin Johnson,/players/J/JohnAu01.htm,0,0,0,0,1,0,0,0,0,0,0,0
Brice McCain,/players/M/McCaBr99.htm,0,0,1,0,0,0,0,0,0,0,0,0
Logan Ryan,/players/R/RyanLo00.htm,0,0,0,0,6,1,0,1,0,0,0,0
LeShaun Sims,/players/S/SimsLe00.htm,0,0,0,0,1,0,1,0,0,0,0,0
Erik Walden,/players/W/WaldEr99.htm,0,0,1,0,0,0,0,0,0,0,0,0
Avery Williamson,/players/W/WillAv00.htm,0,0,1,0,1,0,0,0,0,0,0,0
Wesley Woodyard,/players/W/WoodWe20.htm,1,0,1,0,1,0,0,0,0,0,1,0
