player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Phillip Gaines,/players/G/GainPh00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Justin Houston,/players/H/HousJu00.htm,1,1,0,1,0,0,0,0,0,0,0,0
Derrick Johnson,/players/J/JohnDe25.htm,0,0,2,0,0,0,0,0,0,0,0,0
Chris Jones,/players/J/JoneCh09.htm,1,0,0,0,0,0,0,0,0,0,0,0
Terrance Mitchell,/players/M/MitcTe00.htm,1,0,0,0,4,2,1,0,0,0,1,0
Eric Murray,/players/M/MurrEr00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Marcus Peters,/players/P/PeteMa00.htm,2,0,0,0,0,0,0,0,0,1,0,0
Kevin Pierre-Louis,/players/P/PierKe00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Daniel Sorensen,/players/S/SoreDa01.htm,0,1,0,0,2,0,1,0,0,0,0,0
Ramik Wilson,/players/W/WilsRa00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Frank Zombo,/players/Z/ZombFr00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Jahleel Addae,/players/A/AddaJa00.htm,0,0,0,0,3,0,0,0,0,0,0,0
Jatavis Brown,/players/B/BrowJa05.htm,1,0,0,0,1,0,0,0,0,0,0,0
Kyle Emanuel,/players/E/EmanKy00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Casey Hayward,/players/H/HaywCa00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Desmond King,/players/K/KingDe01.htm,1,0,0,0,0,0,0,0,0,0,0,0
Corey Liuget,/players/L/LiugCo00.htm,1,0,1,0,0,0,0,0,0,0,0,0
Adrian Phillips,/players/P/PhilAd00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Korey Toomer,/players/T/ToomKo00.htm,2,0,1,1,0,0,0,0,0,0,0,0
Trevor Williams,/players/W/WillTr05.htm,0,0,0,0,2,0,0,0,0,0,0,0
