player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Eli Apple,/players/A/ApplEl00.htm,1,1,2,0,1,0,0,1,0,0,0,0
Jonathan Casillas,/players/C/CasiJo99.htm,2,0,0,0,1,0,0,0,0,0,0,0
Landon Collins,/players/C/CollLa00.htm,0,0,1,2,0,0,2,0,0,0,0,0
B.J. Goodson,/players/G/GoodB.00.htm,0,0,1,0,1,0,0,0,0,0,0,0
Janoris Jenkins,/players/J/JenkJa03.htm,2,0,1,0,0,1,0,1,0,0,0,0
Jason Pierre-Paul,/players/P/PierJa99.htm,0,0,0,0,1,0,0,0,0,0,0,0
Keenan Robinson,/players/R/RobiKe01.htm,2,0,1,0,0,0,0,0,0,0,0,0
Dominique Rodgers-Cromartie,/players/R/RodgDo99.htm,0,0,0,0,2,0,0,0,0,0,0,0
Kendell Beckwith,/players/B/BeckKe00.htm,1,0,2,0,2,0,0,0,0,0,0,0
Chris Conte,/players/C/ContCh00.htm,1,1,1,0,1,0,1,0,0,0,0,0
Justin Evans,/players/E/EvanJu00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Adarius Glanton,/players/G/GlanAd00.htm,0,1,0,0,1,0,0,0,0,0,0,0
Brent Grimes,/players/G/GrimBr20.htm,5,1,0,0,0,0,0,2,0,0,0,0
Robert McClain,/players/M/McClRo98.htm,0,1,3,0,0,0,0,0,0,0,0,0
Keith Tandy,/players/T/TandKe00.htm,1,0,1,0,0,0,0,0,0,0,0,0
