player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Brandon Carr,/players/C/CarrBr99.htm,1,0,0,0,0,0,0,0,0,0,0,0
Marlon Humphrey,/players/H/HumpMa00.htm,0,0,0,0,2,0,0,0,0,0,0,0
Tony Jefferson,/players/J/JeffTo00.htm,0,0,0,0,1,0,0,0,0,0,1,0
C.J. Mosley,/players/M/MoslC.00.htm,1,0,1,0,0,0,0,0,0,0,0,0
Patrick Onwuasor,/players/O/OnwuPa00.htm,0,0,1,0,1,0,0,0,0,0,0,0
Lardarius Webb,/players/W/WebbLa99.htm,1,0,0,0,2,0,0,0,0,0,0,0
Eric Weddle,/players/W/WeddEr99.htm,0,0,0,0,1,0,0,0,0,0,0,0
Tyrell Adams,/players/A/AdamTy00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Denico Autry,/players/A/AutrDe00.htm,0,1,1,0,0,0,0,0,0,0,0,0
T.J. Carrie,/players/C/CarrTr00.htm,2,0,2,0,0,0,1,0,0,0,0,0
James Cowser,/players/C/CowsJa00.htm,2,0,1,0,0,0,0,0,0,0,0,0
Cory James,/players/J/JameCo00.htm,1,0,1,0,0,0,0,0,0,0,0,0
Karl Joseph,/players/J/JoseKa00.htm,1,0,1,0,0,0,0,0,0,0,0,0
Marquel Lee,/players/L/LeexMa01.htm,0,0,2,0,0,0,0,0,0,0,0,0
Khalil Mack,/players/M/MackKh00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Dexter McDonald,/players/M/McDoDe02.htm,1,1,1,0,0,0,0,0,0,0,0,0
Nicholas Morrow,/players/M/MorrNi00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Reggie Nelson,/players/N/NelsRe99.htm,0,0,0,0,0,0,0,0,0,0,1,0
Sean Smith,/players/S/SmitSe99.htm,0,0,0,0,2,0,0,0,0,0,1,0
