player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Briean Boddy-Calhoun,/players/B/BoddBr01.htm,2,0,1,0,0,0,0,0,0,0,0,0
James Burgess,/players/B/BurgJa01.htm,0,0,2,0,1,0,0,0,0,0,0,0
Derrick Kindred,/players/K/KindDe00.htm,1,0,0,0,0,1,0,0,0,0,1,0
Christian Kirksey,/players/K/KirkCh00.htm,1,0,4,0,2,0,0,0,0,0,0,0
Jason McCourty,/players/M/McCoJa99.htm,2,0,0,0,3,1,1,0,1,0,0,0
Kai Nacua,/players/N/NacuKa00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Nate Orchard,/players/O/OrchNa00.htm,0,0,0,0,2,0,0,0,0,0,0,0
Jabrill Peppers,/players/P/PeppJa00.htm,0,0,0,0,2,0,0,0,0,0,0,0
Joe Schobert,/players/S/SchoJo00.htm,3,0,1,0,2,0,0,0,0,0,0,0
Jamar Taylor,/players/T/TaylJa01.htm,1,0,0,0,0,1,0,0,0,0,0,0
Jahleel Addae,/players/A/AddaJa00.htm,2,0,0,1,0,0,0,0,0,0,0,0
Tre Boston,/players/B/BostTr00.htm,0,0,1,0,1,0,0,0,1,0,0,0
Casey Hayward,/players/H/HaywCa00.htm,1,1,0,0,0,1,0,0,0,0,2,0
Desmond King,/players/K/KingDe01.htm,0,0,0,0,3,0,0,0,0,0,0,0
Denzel Perryman,/players/P/PerrDe00.htm,0,0,1,0,1,0,0,0,0,0,0,0
Darius Philon,/players/P/PhilDa01.htm,1,0,0,0,0,0,0,0,0,0,0,0
Trevor Williams,/players/W/WillTr05.htm,1,0,0,1,0,0,0,1,0,0,0,0
