player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Jadeveon Clowney,/players/C/ClowJa00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Zach Cunningham,/players/C/CunnZa00.htm,5,0,0,0,0,0,0,0,0,0,0,0
Brandon Dunn,/players/D/DunnBr00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Marcus Gilchrist,/players/G/GilcMa00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Kareem Jackson,/players/J/JackKa99.htm,1,1,1,0,0,0,0,0,0,0,0,0
Kevin Johnson,/players/J/JohnKe04.htm,0,0,0,0,1,0,0,0,0,0,0,0
Johnathan Joseph,/players/J/JoseJo20.htm,2,0,0,0,0,0,0,0,0,0,0,0
Benardrick McKinney,/players/M/McKiBe00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Darius Butler,/players/B/ButlDa99.htm,0,0,0,0,1,0,0,0,0,0,0,0
T.J. Green,/players/G/GreeT.00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Nate Hairston,/players/H/HairNa00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Christopher Milton,/players/M/MiltCh00.htm,1,0,0,0,0,0,1,0,0,0,0,0
Barkevious Mingo,/players/M/MingBa00.htm,2,0,0,0,1,0,0,0,0,0,0,0
Antonio Morrison,/players/M/MorrAn01.htm,2,0,0,0,0,0,0,0,0,0,0,0
Hassan Ridgeway,/players/R/RidgHa00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Anthony Walker,/players/W/WalkAn01.htm,0,0,1,0,1,0,0,0,0,0,0,0
Quincy Wilson,/players/W/WilsQu01.htm,0,0,0,0,1,0,0,0,0,0,0,0
