player_name,player_link,l_end__att,l_end__yds,l_end__td,l_tckl__att,l_tckl__yds,l_tckl__td,l_guard__att,l_guard__yds,l_guard__td,mid__att,mid__yds,mid__td,r_guard__att,r_guard__yds,r_guard__td,r_tckl__att,r_tckl__yds,r_tckl__td,r_end__att,r_end__yds,r_end__td
Orleans Darkwa,/players/D/DarkOr00.htm,2,5,0,1,2,0,2,5,0,7,22,1,1,2,0,0,0,0,1,-4,0
Wayne Gallman,/players/G/GallWa00.htm,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0
Paul Perkins,/players/P/PerkPa00.htm,0,0,0,0,0,0,1,4,0,2,8,0,0,0,0,0,0,0,0,0,0
Geno Smith,/players/S/SmitGe00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Shane Vereen,/players/V/VereSh00.htm,0,0,0,0,0,0,0,0,0,1,-3,0,0,0,0,0,0,0,0,0,0
Marquette King,/players/K/KingMa00.htm,0,0,0,0,0,0,0,0,0,1,-11,0,0,0,0,0,0,0,0,0,0
Marshawn Lynch,/players/L/LyncMa00.htm,0,0,0,5,12,0,3,20,0,4,4,0,2,57,1,2,6,0,1,2,0
Jamize Olawale,/players/O/OlawJa00.htm,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0
Cordarrelle Patterson,/players/P/PattCo00.htm,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Jalen Richard,/players/R/RichJa01.htm,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeAndre Washington,/players/W/WashDe00.htm,0,0,0,1,2,0,1,6,0,1,-2,0,2,1,0,1,9,1,0,0,0
