player_name,player_link,l_end__att,l_end__yds,l_end__td,l_tckl__att,l_tckl__yds,l_tckl__td,l_guard__att,l_guard__yds,l_guard__td,mid__att,mid__yds,mid__td,r_guard__att,r_guard__yds,r_guard__td,r_tckl__att,r_tckl__yds,r_tckl__td,r_end__att,r_end__yds,r_end__td
Ameer Abdullah,/players/A/AbduAm00.htm,4,16,0,1,2,0,3,6,0,5,3,0,2,9,0,1,0,0,3,11,1
Theo Riddick,/players/R/RiddTh00.htm,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-4,0,1,14,0
Matthew Stafford,/players/S/StafMa00.htm,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dwayne Washington,/players/W/WashDw00.htm,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,3,0,1,-6,0
Randall Cobb,/players/C/CobbRa00.htm,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Davis,/players/D/DaviTr03.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0
Brett Hundley,/players/H/HundBr00.htm,0,0,0,0,0,0,1,1,1,1,12,0,1,1,0,0,0,0,1,8,0
Aaron Jones,/players/J/JoneAa00.htm,0,0,0,1,2,0,0,0,0,1,3,0,0,0,0,2,4,0,1,3,0
Ty Montgomery,/players/M/MontTy01.htm,0,0,0,0,0,0,1,8,0,3,16,0,0,0,0,1,9,0,0,0,0
Jamaal Williams,/players/W/WillJa06.htm,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
