player_name,player_link,l_end__att,l_end__yds,l_end__td,l_tckl__att,l_tckl__yds,l_tckl__td,l_guard__att,l_guard__yds,l_guard__td,mid__att,mid__yds,mid__td,r_guard__att,r_guard__yds,r_guard__td,r_tckl__att,r_tckl__yds,r_tckl__td,r_end__att,r_end__yds,r_end__td
Tyreek Hill,/players/H/HillTy00.htm,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akeem Hunt,/players/H/HuntAk01.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Kareem Hunt,/players/H/HuntKa00.htm,1,1,0,4,16,0,2,16,0,3,5,0,3,10,0,3,23,0,2,2,0
Alex Smith,/players/S/SmitAl03.htm,1,6,0,0,0,0,0,0,0,1,7,0,1,6,0,0,0,0,1,2,0
Charcandrick West,/players/W/WestCh01.htm,0,0,0,0,0,0,1,3,0,2,11,0,0,0,0,1,1,0,0,0,0
Nat Berhe,/players/B/BerhNa00.htm,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Orleans Darkwa,/players/D/DarkOr00.htm,1,9,0,2,2,0,4,12,0,4,13,0,5,17,0,4,21,1,0,0,0
Wayne Gallman,/players/G/GallWa00.htm,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,4,16,0,0,0,0
Eli Manning,/players/M/MannEl00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
Kalif Raymond,/players/R/RaymKa00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
Shane Vereen,/players/V/VereSh00.htm,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0
