player_name,player_link,l_end__att,l_end__yds,l_end__td,l_tckl__att,l_tckl__yds,l_tckl__td,l_guard__att,l_guard__yds,l_guard__td,mid__att,mid__yds,mid__td,r_guard__att,r_guard__yds,r_guard__td,r_tckl__att,r_tckl__yds,r_tckl__td,r_end__att,r_end__yds,r_end__td
Marquette King,/players/K/KingMa00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0
Marshawn Lynch,/players/L/LyncMa00.htm,0,0,0,2,7,0,2,2,0,2,4,0,1,1,0,2,-2,0,0,0,0
Jamize Olawale,/players/O/OlawJa00.htm,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Cordarrelle Patterson,/players/P/PattCo00.htm,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Jalen Richard,/players/R/RichJa01.htm,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0
DeAndre Washington,/players/W/WashDe00.htm,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
C.J. Anderson,/players/A/AndeC.00.htm,0,0,0,2,8,0,1,0,0,10,37,0,4,7,0,3,43,0,0,0,0
Devontae Booker,/players/B/BookDe00.htm,0,0,0,0,0,0,0,0,0,1,5,0,2,9,0,0,0,0,0,0,0
Jamaal Charles,/players/C/CharJa00.htm,0,0,0,0,0,0,0,0,0,4,27,0,0,0,0,1,6,0,0,0,0
Trevor Siemian,/players/S/SiemTr00.htm,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
