player_name,player_link,l_end__att,l_end__yds,l_end__td,l_tckl__att,l_tckl__yds,l_tckl__td,l_guard__att,l_guard__yds,l_guard__td,mid__att,mid__yds,mid__td,r_guard__att,r_guard__yds,r_guard__td,r_tckl__att,r_tckl__yds,r_tckl__td,r_end__att,r_end__yds,r_end__td
Isaiah Crowell,/players/C/CrowIs00.htm,1,3,0,0,0,0,3,5,0,0,0,0,5,30,0,1,-1,0,0,0,0
Rashard Higgins,/players/H/HiggRa00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
Kevin Hogan,/players/H/HogaKe00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
Duke Johnson,/players/J/JohnDu00.htm,1,0,0,0,0,0,0,0,0,2,18,0,1,3,0,0,0,0,0,0,0
DeShone Kizer,/players/K/KizeDe00.htm,0,0,0,1,13,0,0,0,0,0,0,0,1,9,0,1,3,0,2,1,0
Javorius Allen,/players/A/AlleJa01.htm,0,0,0,1,1,0,3,46,0,0,0,0,8,7,0,2,12,0,0,0,0
Michael Campanaro,/players/C/CampMi02.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
Alex Collins,/players/C/CollAl00.htm,1,4,0,1,16,0,0,0,0,0,0,0,6,31,0,0,0,0,0,0,0
Terrance West,/players/W/WestTe00.htm,2,14,0,2,3,1,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0
Maxx Williams,/players/W/WillMa04.htm,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
