player_name,player_link,l_end__att,l_end__yds,l_end__td,l_tckl__att,l_tckl__yds,l_tckl__td,l_guard__att,l_guard__yds,l_guard__td,mid__att,mid__yds,mid__td,r_guard__att,r_guard__yds,r_guard__td,r_tckl__att,r_tckl__yds,r_tckl__td,r_end__att,r_end__yds,r_end__td
C.J. Beathard,/players/B/BeatC.00.htm,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Breida,/players/B/BreiMa00.htm,0,0,0,0,0,0,1,1,0,1,10,0,0,0,0,0,0,0,2,10,0
Marquise Goodwin,/players/G/GoodMa00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
Carlos Hyde,/players/H/HydeCa00.htm,2,3,0,3,9,1,2,2,0,1,-1,0,2,5,0,0,0,0,3,10,1
Raheem Mostert,/players/M/MostRa00.htm,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mack Brown,/players/B/BrowMa02.htm,0,0,0,0,0,0,1,3,0,0,0,0,1,-1,0,0,0,0,0,0,0
Kirk Cousins,/players/C/CousKi00.htm,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,1,2,0,1,7,1
Jamison Crowder,/players/C/CrowJa00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0
Niles Paul,/players/P/PaulNi00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
Samaje Perine,/players/P/PeriSa00.htm,4,14,0,1,1,0,1,2,0,0,0,0,1,2,0,1,3,0,1,1,0
Chris Thompson,/players/T/ThomCh03.htm,3,8,0,0,0,0,2,1,0,4,18,0,3,12,0,0,0,0,3,-12,0
