player_name,player_link,l_end__att,l_end__yds,l_end__td,l_tckl__att,l_tckl__yds,l_tckl__td,l_guard__att,l_guard__yds,l_guard__td,mid__att,mid__yds,mid__td,r_guard__att,r_guard__yds,r_guard__td,r_tckl__att,r_tckl__yds,r_tckl__td,r_end__att,r_end__yds,r_end__td
Kirk Cousins,/players/C/CousKi00.htm,1,2,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,3,0
Jamison Crowder,/players/C/CrowJa00.htm,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Byron Marshall,/players/M/MarsBy01.htm,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Niles Paul,/players/P/PaulNi00.htm,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
Samaje Perine,/players/P/PeriSa00.htm,3,15,0,5,22,0,6,18,0,0,0,0,5,38,1,4,24,0,0,0,0
Chris Thompson,/players/T/ThomCh03.htm,0,0,0,1,-2,0,0,0,0,0,0,0,1,4,0,2,15,0,0,0,0
Drew Brees,/players/B/BreeDr00.htm,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Ted Ginn,/players/G/GinnTe00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-12,0
Mark Ingram,/players/I/IngrMa01.htm,1,31,0,2,31,0,3,10,0,0,0,0,3,47,1,2,15,0,0,0,0
Alvin Kamara,/players/K/KamaAl00.htm,0,0,0,1,-1,0,1,10,0,0,0,0,4,6,0,2,27,0,0,0,0
Zach Line,/players/L/LineZa01.htm,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
