player_name,player_link,l_end__att,l_end__yds,l_end__td,l_tckl__att,l_tckl__yds,l_tckl__td,l_guard__att,l_guard__yds,l_guard__td,mid__att,mid__yds,mid__td,r_guard__att,r_guard__yds,r_guard__td,r_tckl__att,r_tckl__yds,r_tckl__td,r_end__att,r_end__yds,r_end__td
Travaris Cadet,/players/C/CadeTr00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LeSean McCoy,/players/M/McCoLe01.htm,3,12,0,1,-1,0,2,12,0,3,13,0,2,0,0,3,8,0,2,9,0
Tyrod Taylor,/players/T/TaylTy00.htm,1,6,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,6,0
Mike Tolbert,/players/T/TolbMi00.htm,0,0,0,1,0,0,0,0,0,1,-1,0,1,-2,0,0,0,0,0,0,0
Brandon Bolden,/players/B/BoldBr00.htm,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
Tom Brady,/players/B/BradTo00.htm,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0
Brandin Cooks,/players/C/CookBr00.htm,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Gillislee,/players/G/GillMi00.htm,0,0,0,0,0,0,1,3,0,3,20,1,1,-1,0,1,6,0,0,0,0
Jacob Hollister,/players/H/HollJa03.htm,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dion Lewis,/players/L/LewiDi00.htm,4,31,0,5,19,0,4,18,0,6,32,1,2,6,0,1,8,0,1,2,0
