player_name,player_link,l_end__att,l_end__yds,l_end__td,l_tckl__att,l_tckl__yds,l_tckl__td,l_guard__att,l_guard__yds,l_guard__td,mid__att,mid__yds,mid__td,r_guard__att,r_guard__yds,r_guard__td,r_tckl__att,r_tckl__yds,r_tckl__td,r_end__att,r_end__yds,r_end__td
Ted Ginn,/players/G/GinnTe00.htm,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Ingram,/players/I/IngrMa01.htm,1,-5,0,6,30,0,0,0,0,3,15,0,1,3,0,2,11,0,1,2,0
Alvin Kamara,/players/K/KamaAl00.htm,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,1,25,1,0,0,0
Tommylee Lewis,/players/L/LewiTo00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
Adrian Peterson,/players/P/PeteAd01.htm,0,0,0,2,9,0,1,5,0,2,2,0,1,1,0,1,-1,0,2,17,0
Christian McCaffrey,/players/M/McCaCh01.htm,2,12,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0
Cam Newton,/players/N/NewtCa00.htm,1,3,1,1,10,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
Curtis Samuel,/players/S/SamuCu00.htm,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Stewart,/players/S/StewJo00.htm,1,17,0,1,0,0,3,12,0,3,10,0,1,5,0,1,6,0,2,7,0
Fozzy Whittaker,/players/W/WhitFo00.htm,0,0,0,0,0,0,0,0,0,1,8,0,1,4,0,0,0,0,0,0,0
