player_name,player_link,l_end__att,l_end__yds,l_end__td,l_tckl__att,l_tckl__yds,l_tckl__td,l_guard__att,l_guard__yds,l_guard__td,mid__att,mid__yds,mid__td,r_guard__att,r_guard__yds,r_guard__td,r_tckl__att,r_tckl__yds,r_tckl__td,r_end__att,r_end__yds,r_end__td
Drew Brees,/players/B/BreeDr00.htm,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey Edmunds,/players/E/EdmuTr00.htm,2,47,1,1,-1,0,1,-1,0,3,0,0,1,1,0,1,2,0,0,0,0
Mark Ingram,/players/I/IngrMa01.htm,0,0,0,4,17,1,2,6,1,8,63,1,7,45,0,0,0,0,0,0,0
Alvin Kamara,/players/K/KamaAl00.htm,3,27,0,1,-1,0,2,14,0,2,25,0,1,6,0,1,11,0,2,24,1
Zach Line,/players/L/LineZa01.htm,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0
Patrick DiMarco,/players/D/DiMaPa00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LeSean McCoy,/players/M/McCoLe01.htm,4,39,0,2,3,0,0,0,0,0,0,0,1,6,0,1,1,0,0,0,0
Tyrod Taylor,/players/T/TaylTy00.htm,1,7,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,1,7,0
Deonte Thompson,/players/T/ThomDe04.htm,1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Tolbert,/players/T/TolbMi00.htm,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
