player_name,player_link,l_end__att,l_end__yds,l_end__td,l_tckl__att,l_tckl__yds,l_tckl__td,l_guard__att,l_guard__yds,l_guard__td,mid__att,mid__yds,mid__td,r_guard__att,r_guard__yds,r_guard__td,r_tckl__att,r_tckl__yds,r_tckl__td,r_end__att,r_end__yds,r_end__td
David Fluellen,/players/F/FlueDa00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Derrick Henry,/players/H/HenrDe00.htm,1,0,0,3,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Mariota,/players/M/MariMa01.htm,1,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1
DeMarco Murray,/players/M/MurrDe00.htm,0,0,0,1,3,0,1,9,0,3,14,0,0,0,0,2,5,0,0,0,0
Taywan Taylor,/players/T/TaylTa00.htm,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfred Blue,/players/B/BlueAl00.htm,0,0,0,0,0,0,1,8,0,1,5,0,1,0,0,0,0,0,1,-1,0
Bruce Ellington,/players/E/ElliBr00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0
D'Onta Foreman,/players/F/ForeDO00.htm,0,0,0,2,21,0,4,13,0,2,5,0,2,5,0,2,-1,0,1,2,0
Lamar Miller,/players/M/MillLa01.htm,1,2,1,2,0,0,7,27,0,1,9,0,3,18,0,5,19,0,0,0,0
Deshaun Watson,/players/W/WatsDe00.htm,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,1,1,1,0,0,0
